uniprotID,Christiano_t1/2_(min)
P32912,88538.20
Q04728,34800.20
P53296,19750.70
P42934,10128.20
P25576,9627.30
Q04949,8312.10
P00815,7649.40
P34232,7647.70
P06115,6525.30
Q12690,5921.10
P36131,5553.40
P23337,5118.10
P19211,4664.90
P50275,4291.20
P02829,3898.60
P32343,3887.80
Q08176,3495.20
P40159,3434.90
Q06696,3381.60
P39996,3270.10
P38892,3035.20
P41930,2989.30
P38990,2823.00
P53881,2784.30
P36007,2757.50
P33416,2685.40
Q01217,2659.90
P38616,2648.10
P53969,2636.20
P32347,2578.90
P06242,2563.60
P53183,2543.90
P53273,2438.90
Q04767,2376.40
P06776,2364.70
P38745,2264.90
P18562,2193.90
Q04304,2171.70
P38321,2159.70
P35181,2155.10
P38773,2152.80
P23833,2148.90
P32332,2089.60
P06106,2073.90
P25358,2042.60
P53104,2007.20
P40086,1949.70
Q06671,1918.50
P40206,1875.00
Q04432,1870.00
Q03705,1865.90
Q07825,1831.20
P37012,1829.10
P53228,1826.90
P38064,1825.00
P46992,1793.70
Q03151,1764.50
P53298,1748.60
P25366,1745.90
Q05521,1724.50
P42936,1717.60
P32785,1714.70
P40353,1630.30
P53333,1624.00
Q03388,1622.30
P16474,1620.70
P40364,1611.50
P22139,1540.90
P04076,1493.50
P0CH09,1472.60
Q08202,1470.50
P11986,1470.30
Q00055,1469.00
P53202,1466.90
P38765,1456.00
Q08224,1436.20
Q03919,1435.00
P31539,1420.80
P38998,1417.60
P48569,1397.40
P40030,1392.20
P07264,1384.70
P53731,1380.00
P20133,1370.60
Q03103,1324.70
P28495,1322.00
P53066,1313.00
Q03558,1306.10
P25342,1301.80
Q04116,1293.40
P36068,1291.10
P50278,1288.30
Q06554,1285.80
Q12329,1283.80
P03965,1271.90
P38336,1267.50
P53855,1265.30
P0CX34,1259.10
Q06616,1257.40
P47771,1246.70
P53829,1238.80
P32829,1224.40
P15019,1217.30
Q12400,1211.10
P10591,1211.00
P54780,1204.20
Q05933,1201.30
P38113,1200.20
P38145,1199.30
Q08548,1197.40
P40527,1191.40
P38717,1188.60
P32474,1184.30
P25646,1183.00
P36027,1182.70
P09733,1182.10
Q12280,1180.40
P37898,1161.90
Q3E835,1157.30
P09232,1156.80
P38798,1152.00
Q12343,1150.40
P32915,1148.50
Q12012,1146.10
P0CX42,1145.70
P49089,1145.70
P38922,1136.60
P53691,1127.70
Q04868,1127.20
P38804,1126.20
P36069,1125.20
P47096,1122.00
P38720,1114.30
P38348,1100.80
P47176,1095.80
P10356,1092.90
P19414,1084.50
P40090,1083.70
P53133,1081.20
P38715,1078.80
P34243,1077.00
Q3E769,1076.90
P06780,1070.40
P04807,1069.20
Q3E7B7,1069.10
Q12449,1062.60
Q08816,1059.10
P06100,1050.50
P32350,1047.10
P39707,1042.10
P40532,1040.90
P38713,1038.90
P13663,1037.90
Q02767,1035.20
P07262,1035.10
P25371,1028.00
P13712,1026.40
P53184,1025.10
P00498,1023.30
P47044,1022.70
P39676,1022.30
P0CT04,1020.50
P38235,1016.80
Q12156,1016.70
P53834,1014.10
P43568,1013.60
P25367,1009.90
Q12509,1009.10
P35724,1007.30
P40054,1005.90
Q07551,1005.40
Q02933,1003.20
P11412,1000.60
Q07468,1000.10
P05373,999.50
P47017,999.10
P14904,997.70
P15108,997.20
Q00772,997.00
P38891,993.90
P15705,987.30
P32048,987.00
Q06822,985.60
P00560,984.60
P10869,976.50
P40525,973.00
Q99382,972.20
P38716,970.70
Q00245,969.30
P25578,962.90
P00925,962.00
P53100,956.60
Q08961,956.20
P06208,956.00
P38874,954.60
P28834,949.30
Q08979,943.40
P38873,943.30
P32598,942.70
P46674,941.20
P36040,940.90
P38238,939.30
P15807,936.10
P38886,934.70
P20484,932.60
P40510,932.20
P39976,930.30
P28241,929.40
Q99186,929.00
Q02202,928.60
P14843,924.80
P36526,924.10
Q12363,922.00
P27636,919.60
P40339,918.50
P34072,915.60
P25294,913.80
P17709,905.30
P49960,905.00
P16550,904.00
P33734,903.80
Q08985,902.90
Q08199,900.00
Q12324,899.80
P38703,893.00
Q03441,892.60
P36139,891.80
P10592,891.70
P80210,890.10
P07277,884.60
P22438,884.10
P14020,882.80
P53929,880.00
Q06252,879.70
Q03338,879.60
Q12454,878.10
P41277,877.00
P38697,875.20
Q12104,875.20
P38219,874.20
P38164,873.00
P38334,872.80
Q02753,867.60
P15700,867.40
P12683,865.90
P40483,863.30
P38139,863.30
Q06346,862.40
P0C5R9,862.30
P18410,861.90
P28789,860.50
Q03776,860.30
P32558,859.10
P07285,858.60
Q12362,857.50
P53193,853.80
Q06705,853.70
Q12283,853.60
P53088,851.60
P48559,848.30
P36006,847.30
P38241,847.20
P51601,844.50
P00931,843.90
P46970,842.90
P00127,842.50
P40015,839.10
P53164,836.90
Q12298,836.50
P38969,833.90
P32449,833.40
P00950,832.60
P38250,828.70
P36104,828.70
P23968,827.00
P30775,825.90
P32626,823.20
P39677,822.40
P00912,822.20
P47112,821.60
P53219,821.40
P38075,820.50
P46680,820.10
Q03941,820.00
P38140,819.20
Q06628,817.00
Q03835,816.70
Q02863,816.10
P40045,815.90
P40482,813.00
Q12396,812.50
P36136,810.30
P21269-3,810.20
P35127,809.50
P53095,809.30
P23254,809.20
P50101,809.10
P28708,808.80
P00937,808.70
P38777,808.20
Q12452,807.10
Q04491,806.70
Q12458,806.20
P32327,805.80
Q08649,805.50
P40363,804.90
Q05549,804.40
P24784,802.30
P28239,801.80
P32337,801.70
Q06683,800.70
P33327,799.40
P53839,797.40
P36149,796.80
P32844,796.60
P38910,795.50
P07245,794.30
Q12285,794.20
P29952,793.30
P12709,793.00
Q12146,791.60
P48570,791.50
P38988,790.50
Q12486,790.00
P22108,789.40
P47129,788.20
P20795,787.40
Q06508,786.90
Q06567,786.80
P37020,786.40
P38169,786.00
Q12328,786.00
P47154,785.70
P36013,785.20
Q2V2P4,785.10
O13539,785.00
P38162,784.40
Q05979,783.80
Q12154,783.80
P14742,783.60
Q12245,783.30
P36016,783.00
P38737,782.90
Q12209,782.70
Q05926,781.50
Q04081,778.20
P14741,777.40
P32589,777.20
P43603,776.40
P09734,774.70
P53258,774.30
P07172,773.90
Q02908,773.30
Q03482,772.20
P12684,771.70
P32563,771.10
P38629,770.50
P32590,770.00
P00359,769.30
Q02961,769.10
P32588,768.40
P36154,768.20
P19882,767.80
P47166,767.70
P38217,767.50
P32803,767.00
P40462,766.50
P16861,766.00
P41058,764.90
P33412,764.80
P46677,764.60
P36095,764.20
P53315,763.60
Q06063,763.20
P36037,762.50
P36047,762.50
P23542,762.40
P15731,761.50
Q99176,761.40
P32579,760.20
Q04174,760.20
P22141,759.40
Q07830,759.00
P47173,759.00
P32178,758.70
P40993,756.90
P36000,756.90
P50113,755.50
P53629,755.00
P38934,754.00
P53090,752.80
P38137,752.50
Q02932,751.00
P17536,749.60
Q04410,749.30
P48362,748.80
Q07872,748.50
Q12071,747.20
P31374,746.80
Q07533,746.70
Q12375,746.70
P40495,745.70
P53727,745.50
P17967,745.40
P43621,745.20
P04840,743.40
P33203,743.10
P30657,742.90
P39988,742.80
Q06096,742.70
P17423,742.20
Q07953,742.00
P47039,741.90
P32610,740.70
P40047,739.60
Q06340,739.40
Q02199,739.10
P15625,738.80
Q12074,738.70
Q04178,738.30
P31373,737.50
P20436,737.00
P53722,736.60
Q02648,736.40
Q99312,735.70
Q08685,735.20
P49723,735.20
Q08925,734.90
P50094,733.90
P36053,733.70
Q02866,733.40
P31787,733.00
Q04062,732.90
P49954,732.80
Q07804,732.80
P40013,732.30
P21242,732.30
Q06632,731.80
P32179,731.50
P38266,731.20
P50942,731.10
P38256,730.80
P07170,730.20
P0CS90,729.20
P05747,729.10
P53275,729.00
P40518,728.90
P15180,728.90
Q05788,728.60
P38689,728.50
P32074,728.40
P53868,728.40
P38708,727.60
P06182,727.20
P07806-2,726.90
P07149,726.70
P32644,725.70
P30822,724.70
P11353,724.50
P53332,724.40
P29469,723.80
P06105,723.70
P18759,723.60
Q03629,723.30
P38335,723.30
P53199,723.20
Q03308,723.00
P21576,722.80
P08566,722.80
Q02785,722.40
Q03219,722.40
P40347,721.80
Q12149,721.50
P25340,721.10
P25044,720.90
P06168,720.80
P38226,720.80
Q08962,720.70
P14540,720.60
Q08562,720.60
P40545,720.30
Q12199,719.40
P41338,718.70
P32775,718.50
P32499,718.40
Q12365,718.30
P38199,717.80
P36132,717.80
P34253,717.80
Q06522,717.20
P40335,716.20
P38074,715.70
P53738,714.80
Q03262,714.60
Q12377,714.40
Q01939,713.70
P40579,713.60
Q04693,713.50
P36157,713.50
Q06608,713.40
P43639,712.10
P40106,711.40
Q12122,711.20
P38604,710.90
P19097,709.10
P32771,709.00
P32504,708.90
P38787,708.60
P53729,708.50
P47035,708.40
P32386,707.40
P06773,707.40
P35191,707.10
P32913,706.60
Q01532-2,706.20
Q12017,705.90
P25559,705.70
P21801,705.20
P28777,704.70
Q06504,704.60
P06101,704.10
P31116,703.70
Q06494,703.70
P43635,703.50
P40157,703.10
P10080,702.50
P39936,702.40
P39522,702.30
P52553,702.00
P53078,701.50
P39986,701.40
P38153,701.10
Q06103,700.70
P39109,700.30
P38884,700.20
P00549,699.50
P12945,699.30
Q12133,699.10
P53688,698.50
P19263,698.10
P33338,698.10
P53250,698.10
P38328,698.00
Q04371,696.70
P23639,696.70
P29311,696.50
Q03973,696.40
P19736,696.30
P11745,696.20
P53336,696.10
P34087,696.00
P36075,695.70
P12904,695.20
P40093,694.90
Q08745,694.50
P33332,694.40
Q06247,694.30
P20053,694.20
P40185,694.00
P28321,693.60
P38081,693.50
P32614,693.50
P11709,693.20
P53206,693.20
Q02725,692.90
P40481,692.70
Q06685,691.90
P38968,691.60
P47133,691.20
P47008,691.20
Q12029,690.90
P32602,690.90
P35845,690.00
P31412,689.80
Q12386,689.60
P06169,689.30
Q08748,689.20
Q04067,688.80
P34216,688.60
P54885,688.20
Q12490,688.20
P23180,688.20
P25654,687.80
P53063,687.60
P48510,687.50
P41810,686.80
P38632,686.70
Q02959,686.40
P32354,686.40
P43123,685.90
Q00618,685.70
P0CX32,685.40
Q03768,685.30
P36039,685.00
P32361,684.60
Q03362,684.50
P48837,684.30
P12383,684.30
P53845,684.00
Q12109,683.70
P14743,683.10
Q04179,682.80
Q05934,682.80
P32379,682.60
Q00955,682.00
P04806,681.90
P47076,681.80
P25491,681.70
Q02630,681.70
Q08968,681.70
P24280,681.60
P52891,681.50
Q06488,681.50
P15873,681.40
P32787,681.00
Q04080,680.80
Q07648,680.50
P23248,680.40
Q12675,680.40
P53323,680.20
P21182,680.20
P53540,678.60
P33330,678.50
P24276,678.40
P32463,678.10
Q05778,678.10
P32608,677.80
P37366,677.70
P39076,677.60
Q12453,677.40
P53254,677.40
P03874,677.10
P41807,676.90
P25045,676.60
P24482,676.30
Q06512,675.80
P38869,675.60
Q12344,675.40
P10622,675.20
P32381,675.00
P25298,674.90
P53981,674.70
P39952,674.60
P39939,674.60
P48566,674.10
P39994,673.80
P53239,673.70
P53844,673.70
P32368,672.90
P35719,672.80
Q03034,672.30
P00942,672.20
Q03048,671.80
P35817,671.50
Q04201,671.40
Q06440,671.00
P43682,670.90
P27344,670.60
P53549,670.50
P32468,669.90
P39904,669.80
P53303,669.80
P36122,668.90
Q12184,668.20
P33317,667.90
P15624,667.80
Q08235,667.70
P25605,667.60
Q03102,667.00
P02557,667.00
P53893,667.00
P20051,667.00
P15442,666.80
Q01476,666.50
Q06151,666.40
P34164,666.30
Q08971,665.90
P53633,665.90
P38820,665.00
P40018,665.00
P38615,664.80
Q04636,664.20
P32501,663.80
P53953,663.00
P09435,662.90
P38009,662.80
Q12434,662.70
P38821,662.70
P27351,662.40
P33299,662.10
P0CX52,662.10
Q08058,662.10
P22147,662.00
Q12341,662.00
P32447,661.40
P31376,661.40
Q08977,661.10
P33399,661.10
P10081,660.70
P39958,660.30
P34160,660.10
P38890,660.00
Q02642,659.90
P05749,659.60
P36164,659.40
P53108,659.30
Q99190,659.00
P38149,659.00
P40893,658.70
O14467,658.30
Q12040,658.10
P40212,658.00
Q00582,657.60
Q01855,657.50
P40079,657.30
P32564,657.30
P38013,657.10
P32496,657.00
P52870,656.90
P38431,656.70
P53852,656.40
P38628,656.30
P01123,656.00
P34760,655.90
P38707,655.90
P38791,655.80
P47119,655.70
P34237,655.60
Q07527,655.40
P25623,655.40
P46969,654.40
P53622,654.40
Q12028,654.30
Q03921,653.80
P16862,653.50
P33892,653.30
P32861,653.10
P38249,652.70
P04802,652.60
P32264,652.60
P46655,652.50
P32605,651.80
P38759,651.70
Q06707,651.60
Q02795,651.40
P54860,651.30
P13185,651.20
P40303,651.20
P47075,651.20
P38636,651.10
P50109,651.10
P38986,650.90
Q3E7Y3,650.70
P15303,650.60
P14832,650.50
P10363,650.40
P36076,650.30
P40414,650.10
Q03771,649.40
Q06010,649.10
P00817,648.90
P16370,648.80
P07283,648.80
P38218,648.80
P08524,648.80
P38116,648.70
P53010,648.40
P38858,648.00
P07274,647.60
P09436,647.60
P28791,647.50
P38775,647.50
P39945,647.40
P40165,647.20
P43616,647.20
P38620,647.00
Q12522,646.90
P06787,646.70
P05755,646.50
P46683,646.50
P42943,645.80
P32485,645.50
P43591,645.40
P02381,645.30
P34730,645.20
P20485,645.20
P40580,645.10
P89886,645.00
P32329,645.00
P26321,644.90
P35844,644.70
P53155,644.50
P39683,644.00
Q08817,644.00
P48415,643.90
P19658,643.60
P54007,643.60
Q05892,643.40
P05745,643.20
P28000,643.00
P36010,643.00
P13298,643.00
P35176,642.90
Q02046,642.90
Q06217,642.80
P40075,642.50
P38427,642.30
P53129,642.00
P42941,641.70
P39998,641.60
Q01159,641.40
P26637,641.20
P17505,641.00
P09032,640.80
P53204,640.70
P43569,640.70
P0CX56,640.50
P50086,640.50
P33775,640.40
P40302,640.30
P15454,640.20
Q12250,640.20
Q04175,639.90
P26783,639.60
P36119,639.50
P40563,639.10
P00572,639.10
Q12447,638.90
Q06523,638.80
P39111,638.70
P48445,638.50
P13188,638.50
P53915,638.40
P31384,638.30
P36421,638.20
P05738,638.20
P32835,638.10
P54839,638.00
P38930,638.00
P46672,637.90
P53235,637.90
P38999,637.60
Q04603,637.60
P30619,637.60
P30656,637.40
P21264,637.30
P21243,636.90
Q03337,636.70
P32898,636.70
P32561,636.30
P54861,636.20
P32497,635.90
Q02770,635.70
Q12523,635.60
P52286,635.50
P11154,635.40
P23724,635.30
P05318,635.30
P16622,635.20
P32617,635.20
P05756,635.10
P48563,635.10
Q12242,635.00
P31383,634.90
P25719,634.90
P22517,634.70
Q03786,634.30
P15496,634.10
P52923,634.10
Q06839,634.10
P38747,634.00
P34222,634.00
P38754,633.90
P0CX83,633.90
P89105,633.80
P15790,633.60
P41911,633.60
Q06338,633.30
Q05874,633.30
Q12163,633.10
P43590,633.00
Q05881,632.90
Q06679,632.70
P39704,632.70
P38878,632.60
P35189,632.60
P00899,632.50
P40366,632.50
P49090,632.30
Q06168,632.30
Q05948,632.00
P06103,632.00
P02294,631.60
P40040,631.50
Q12271,631.00
Q04409,630.90
P53221,630.90
P40561,630.80
P49367,630.80
P38340,630.70
Q12464,630.60
P07257,630.40
P25567,630.20
Q7LHG5,629.80
P53152,629.70
Q12034,629.70
P38181,629.60
P23287,629.40
P36090,629.40
P33754,629.30
P53178,629.00
Q12191,628.90
P43577,628.60
P32528,628.40
P47079,628.20
P39077,628.20
P19454,628.10
P53723,628.10
P40066,628.10
P53210,628.10
P25293,628.00
Q05900,628.00
P14922,627.80
P48606,627.80
P39526,627.60
Q06178,627.50
Q03648,627.50
Q02793,627.40
P07284,627.00
P10961,626.70
P40350,626.70
Q08446,626.30
P41811,626.20
Q06287,626.00
P53110,626.00
Q3E756,625.60
Q05506,625.50
P60010,625.50
Q12354,625.40
P50095,625.10
Q08421,625.00
P32464,624.70
Q06697,624.60
P22137,624.60
P35182,624.60
Q12160,624.60
P32524,624.50
P35729,624.40
Q04458,624.20
Q92331,624.00
P39985,623.90
P40348,623.80
P40035,623.80
P35202,623.60
P38129,623.50
P43535,623.30
Q06011,623.30
P00958,623.20
P06785,623.20
P07278,623.00
P32769,623.00
Q07834,622.90
Q05905,622.50
P53049,622.40
P00546,622.40
P12695,622.20
P41920,621.70
Q12525,621.20
P05319,621.10
P40541,620.90
P28273,620.70
Q07478,620.70
P32352,620.70
Q06543,620.40
P0CX54,620.40
P39538,620.40
Q12288,620.30
P35197,620.30
Q12277,620.20
Q07589,620.10
P17555,619.90
Q05568,619.80
P38793,619.80
P0C2H9,619.50
Q01477,619.40
Q3E757,619.30
P36022,619.20
P38912,619.10
P39078,618.80
Q06001,618.70
Q05166,618.50
P05317,618.50
Q07979,618.20
Q12159,618.20
Q04430,618.10
Q01389,617.60
Q04003,617.40
P38088,617.40
P51401,617.20
P16120,617.00
P51996,616.90
P47103,616.90
P47169,616.70
P32582,616.60
Q04344,616.40
Q06708,615.80
P38810,615.60
P25443,615.60
P00724-2,615.50
P42937,615.30
P0CX30,615.30
P43588,615.00
P25386,614.90
Q02516,614.90
P38254,614.70
P53200,614.60
Q12117,614.30
P46948,614.30
P0CX24,614.20
P13517,614.20
Q07897,614.10
P40070,613.90
P14906,613.70
P40029,613.60
Q08726,613.60
P34077,613.60
P39938,613.40
P29704,613.40
P54964,613.30
Q00711,613.20
P53145,613.20
Q12102,612.80
P39001,612.70
Q08045,612.70
P43585,612.60
P13586,612.30
P35177,612.10
P40513,612.10
Q07878,612.00
P54838,611.40
P39929,611.30
P40008,611.20
P39995,611.20
P34227,611.00
P53973,610.90
P39968,610.80
P08466,610.30
P53903,610.10
Q92325,609.90
P32521,609.70
Q12118,609.60
P36015,609.40
Q04336,609.20
P32454,609.00
P53114,609.00
Q04373,608.90
P38710,608.90
Q06137,608.80
P40019,608.60
P47068,608.50
Q05498,608.50
Q3E7X9,608.40
P32349,608.30
P38701,607.80
P32790,607.80
P47006,607.70
P05750,607.60
P0CX44,607.60
P32457,607.60
P53137,607.50
P40581,607.10
P19358,607.00
Q03161,606.80
P0CX28,606.60
P21827,606.50
Q07528,606.30
Q12406,606.20
P05739,606.10
P46990,606.10
P38315,606.00
P40064,605.70
P20449,605.60
P01094,605.60
P29547,605.50
P53072,605.50
P14120,605.30
P35691,605.30
P28272,605.20
Q06214,605.00
P26449,604.90
Q05931,604.90
P32502,604.70
P02406,604.60
Q02326,604.60
P07213,604.60
P32656,604.60
P36057,604.60
P32788,604.30
P33411,604.30
P32604,604.20
P54999,604.20
P29453,604.20
Q07657,604.00
P30665,603.90
P32495,603.90
Q12508,603.80
P38063,603.70
P38011,603.70
P20604,603.50
P41940,603.40
P40011,603.40
P38882,603.40
P38879,603.30
P00410,603.10
P42826,602.90
P39010,602.60
Q12387,602.60
P38698,602.50
P53604,602.50
P38694,602.00
P24583,601.80
P23643,601.70
P25087,601.60
P38374,601.50
P46944,601.40
P40531,601.30
P32366,601.30
P54000,601.30
Q12429,601.10
P38313,601.10
P25655,600.90
P53081,600.70
P22214,600.60
P20433,600.50
P38251,600.40
P47117,600.10
P48240,600.00
P39079,600.00
P43321,600.00
P32263,599.80
P20434,599.60
P43601,599.60
P38748,599.60
P38627,599.50
P37267,599.50
P33760,599.50
P36008,599.40
P18898,599.30
P20049,599.30
Q08641,599.30
P16603,599.20
Q08601,599.20
Q08645,599.20
Q06688,599.00
P54074,599.00
Q03690,599.00
P02994,598.90
P33767,598.80
P47141,598.70
Q06107,598.50
P09624,598.50
P39742,598.30
P06367,598.10
Q04439,598.10
Q08412,597.90
P53859,597.70
Q03713,597.60
P35732,597.50
Q03407,597.40
Q3E795,597.40
Q12143,597.00
P25339,597.00
P26786,596.70
P40099,596.60
P12612,596.60
P38687,596.50
P32527,596.40
P40009,596.30
P01097,596.20
Q06263,595.90
Q03579,595.80
Q01722,595.60
P22213,595.60
P04449,595.60
P53914,595.60
Q12273,595.60
P38795,595.50
Q12672,595.50
Q12265,595.20
Q01560,595.10
P39744,595.00
P38061,595.00
P17157,594.90
Q12009,594.80
P38205,594.60
P07261,594.50
P32916,594.10
P32324,593.30
P28707,593.20
P32642,593.20
P38329,593.10
P53111,593.10
P48567,593.00
Q04183,592.80
P36517,592.60
Q12466,592.50
P38080,592.40
P40318,592.30
P16661,592.30
P38792,592.20
Q12403,592.20
P38225,592.10
P35196,592.10
P39743,592.00
P53875,592.00
P46971,592.00
P06701,591.90
P04801,591.90
Q12030,591.80
P0CX36,591.70
P43609,591.60
P07560,591.50
P25378,591.50
Q08162,591.50
P33201,591.40
